Address,W1,W2,Total
0xD7AB9E6287A6598002aAbd4ed6d1FE613948EeC4,70,77.5,147.5
0xD5fcA153769847Ef9C3dEA17aC0166209dee11f7,60,72.5,132.5
0xd09df71b06c610c2fa519b22a2c8ad5538ed4165,52.5,70,122.5
0xfd9F68cff4BB13D512Ecad600FE63F222d80Dc06,80,67.5,147.5
0x2255D7A30f831c1E86aA84225f44577217290E72,72.5,62.5,135
0x6eaFE9D8036D2A1649480d9e090FE7534b146B57,70,60,130
0x10eD8629e6b34FC39c215945221360c808CdbBFa,15,60,75
0xc61167e7Dcd02ece2E090cC3fFEEec021557Bb53,90,45,135
0xb1B560CD3929949B079d5f51A570891c69C7682D,47.5,45,92.5
skaunov.eth,80,42.5,122.5
0xA68A8adC1F6AB80010fa3189908E908C8F1a40bF,50,42.5,92.5
0x230748447403231c30bC000C51c4Ac746e647ea1,65,30,95
0xDe328e73C0b98F7A74162baa76d44106FDf32640,62.5,30,92.5
0x96C6578728F9788a1F5Cd8bAE8191922e2dC3a07,5.5,25,30.5
0x73d2875562007158899e0bf8FF5f6c02Bc8DDbec,62.5,0,62.5
0x996CB90c997788057CA64ca4287d78f260dBc1fd,60,0,60
0x93fb41139Cd77A3887BD206E57c2ed41cC4FAF66,60,0,60
0x7EF7a35d5021B7103f3A27814Fb074F8DBd0D964,55,0,55
0x5d21ceEb150A989a3D8F5e4F271D9235f1D9983A,50,0,50
0xea99B3C34aE77A8CC49aB8Ffc4a388ec882952B9,50,0,50
0x55d829A66BB1D9f82923cBDEe355249EE5940365,47.5,0,47.5
0x1c1fb7633760D17b6c385816729c6Be02D426d12,45,0,45
0x9B4F3e685a6402DB12f0671bAfD515e50D9Cf2B3,35,0,35
0x1c1fb7633760D17b6c385816729c6Be02D426d12,30,0,30
